1138번째 학습, 233, 699, 1139
594번째 학습, 202, 220, 595
609번째 학습, 178, 447, 610
181번째 학습, 150, 163, 182
675번째 학습, 164, 624, 676
757번째 학습, 353, 374, 758
223번째 학습, 154, 167, 224
788번째 학습, 346, 602, 789
457번째 학습, 223, 245, 458
619번째 학습, 76, 218, 620
1463번째 학습, 259, 1097, 1464
410번째 학습, 158, 381, 411
427번째 학습, 327, 397, 428
511번째 학습, 186, 291, 512
471번째 학습, 41, 255, 472
1338번째 학습, 640, 1139, 1339
174번째 학습, 130, 143, 175
1339번째 학습, 152, 666, 1340
679번째 학습, 155, 472, 680
537번째 학습, 142, 456, 538
621번째 학습, 160, 175, 622
639번째 학습, 206, 522, 640
559번째 학습, 225, 462, 560
379번째 학습, 160, 174, 380
1272번째 학습, 251, 639, 1273
851번째 학습, 371, 785, 852
368번째 학습, 176, 313, 369
874번째 학습, 195, 373, 875
815번째 학습, 152, 171, 816
910번째 학습, 640, 686, 911
394번째 학습, 178, 197, 395
328번째 학습, 193, 207, 329
376번째 학습, 125, 271, 377
479번째 학습, 119, 289, 480
642번째 학습, 225, 491, 643
854번째 학습, 252, 552, 855
522번째 학습, 321, 333, 523
213번째 학습, 137, 164, 214
715번째 학습, 190, 428, 716
986번째 학습, 384, 625, 987
381번째 학습, 137, 357, 382
627번째 학습, 195, 561, 628
529번째 학습, 220, 231, 530
369번째 학습, 116, 353, 370
639번째 학습, 255, 555, 640
1075번째 학습, 195, 586, 1076
507번째 학습, 143, 309, 508
676번째 학습, 231, 414, 677
638번째 학습, 116, 251, 639
1200번째 학습, 232, 685, 1201
423번째 학습, 127, 149, 424
559번째 학습, 171, 449, 560
489번째 학습, 286, 348, 490
898번째 학습, 274, 714, 899
852번째 학습, 303, 514, 853
350번째 학습, 156, 223, 351
455번째 학습, 217, 287, 456
710번째 학습, 215, 409, 711
513번째 학습, 153, 383, 514
752번째 학습, 238, 255, 753
669번째 학습, 166, 462, 670
694번째 학습, 312, 333, 695
439번째 학습, 191, 204, 440
609번째 학습, 138, 432, 610
1468번째 학습, 780, 796, 1469
441번째 학습, 153, 171, 442
531번째 학습, 246, 506, 532
531번째 학습, 168, 266, 532
511번째 학습, 115, 447, 512
728번째 학습, 235, 247, 729
489번째 학습, 163, 468, 490
733번째 학습, 437, 583, 734
496번째 학습, 225, 239, 497
564번째 학습, 221, 447, 565
749번째 학습, 240, 404, 750
407번째 학습, 176, 192, 408
606번째 학습, 246, 498, 607
597번째 학습, 289, 304, 598
549번째 학습, 83, 401, 550
624번째 학습, 256, 277, 625
812번째 학습, 171, 418, 813
923번째 학습, 504, 522, 924
609번째 학습, 240, 284, 610
785번째 학습, 84, 242, 786
821번째 학습, 318, 622, 822
807번째 학습, 348, 369, 808
501번째 학습, 154, 384, 502
335번째 학습, 195, 218, 336
457번째 학습, 176, 456, 458
1279번째 학습, 299, 663, 1280
313번째 학습, 234, 263, 314
476번째 학습, 373, 393, 477
519번째 학습, 252, 266, 520
719번째 학습, 92, 290, 720
1008번째 학습, 336, 767, 1009
576번째 학습, 236, 430, 577
842번째 학습, 357, 818, 843
512번째 학습, 179, 487, 513
255번째 학습, 158, 171, 256
1372번째 학습, 268, 950, 1373
668번째 학습, 463, 494, 669
770번째 학습, 198, 430, 771
644번째 학습, 189, 214, 645
459번째 학습, 237, 397, 460
1293번째 학습, 607, 625, 1294
478번째 학습, 171, 408, 479
366번째 학습, 181, 353, 367
454번째 학습, 164, 425, 455
711번째 학습, 350, 472, 712
782번째 학습, 246, 344, 783
595번째 학습, 225, 409, 596
801번째 학습, 188, 529, 802
461번째 학습, 188, 206, 462
585번째 학습, 173, 189, 586
635번째 학습, 242, 499, 636
699번째 학습, 141, 371, 700
665번째 학습, 351, 393, 666
468번째 학습, 164, 309, 469
604번째 학습, 339, 598, 605
893번째 학습, 500, 534, 894
492번째 학습, 174, 453, 493
504번째 학습, 284, 354, 505
667번째 학습, 239, 322, 668
697번째 학습, 230, 249, 698
